4.582286192014273638e+02 1.000000000000000000e+07 1.139920403060791898e+00
4.752927530059442915e+02 1.157486487082692422e+07 1.140349612818510661e+00
4.929923439824858633e+02 1.339774967779032513e+07 1.140811401438821093e+00
5.113510561401427594e+02 1.550771420935880020e+07 1.141310817361496310e+00
5.303934347202130084e+02 1.794996964287307113e+07 1.141853466052203725e+00
5.501449390127124843e+02 2.077684730517013371e+07 1.142445901087197235e+00
5.706319763949500157e+02 2.404891999991488084e+07 1.143095846108660663e+00
5.918819376376785613e+02 2.783629992883418128e+07 1.143813405057829691e+00
6.139232335260228410e+02 3.222014101800647750e+07 1.144612376778516571e+00
6.367853328441466374e+02 3.729437784024130553e+07 1.145510219432495536e+00
6.604988017744445870e+02 4.316773839423552155e+07 1.146529421656241388e+00
6.850953447639340084e+02 4.996607386924836785e+07 1.147700754774225285e+00
7.106078469124837511e+02 5.783505531623061001e+07 1.149065799383315989e+00
7.370704179395544315e+02 6.694329500821695477e+07 1.150690848042662751e+00
7.645184377882296758e+02 7.748595937280139327e+07 1.152696967657860894e+00
7.929886039275120311e+02 8.968895091265611351e+07 1.155205230881327427e+00
8.225189804161267375e+02 1.038137487220224142e+08 1.158444774101725194e+00
8.531490487934270277e+02 1.201630113191390783e+08 1.162769079874985456e+00
8.849197608654460510e+02 1.390870618490681946e+08 1.168599911338932706e+00
9.178735934566647074e+02 1.609913946183311045e+08 1.175906806352045031e+00
9.520546052007005073e+02 1.863453638073155284e+08 1.186446772586321252e+00
9.875084954458445736e+02 2.156922405374760628e+08 1.201247383371782051e+00
1.024282665354201526e+03 2.496608537907183170e+08 1.219569358784887925e+00
1.062426281276122381e+03 2.889790646162842512e+08 1.240962567286749474e+00
1.101990340484658873e+03 3.344893623431454301e+08 1.265369484680227252e+00
1.143027739357925839e+03 3.871669169850971699e+08 1.292929788095984911e+00
1.185593344100532022e+03 4.481404746557165980e+08 1.322768971634550539e+00
1.229744064098627632e+03 5.187165437288157940e+08 1.356336171757454023e+00
1.275538928006648121e+03 6.004073899923430681e+08 1.395857458150886909e+00
1.323039162667477285e+03 6.949634406607253551e+08 1.457231522246861699e+00
1.372308274971546780e+03 8.044107915812841654e+08 1.493933523807683628e+00
1.423412136764314255e+03 9.310946213188289404e+08 1.537913077826958297e+00
1.476419072915638480e+03 1.077729442371921062e+09 1.591053138187370708e+00
1.531399952668805327e+03 1.247457266276664019e+09 1.652355299523402987e+00
1.588428284391325406e+03 1.443914928928354740e+09 1.718316114561553976e+00
1.647580313854195083e+03 1.671312018731536865e+09 1.777084333555242202e+00
1.708935126171008505e+03 1.934521077380651712e+09 1.840530742287010524e+00
1.772574751533217295e+03 2.239182006044755936e+09 1.911764496131374891e+00
1.838584274882903628e+03 2.591822914115520477e+09 1.997994392774758987e+00
1.907051949669692476e+03 3.000000000000000000e+09 2.116331182997328586e+00
