pl_hostname,pl_rade,pl_eqt
CoRoT-6,13.068,1017
CoRoT-9,11.949,420
CoRoT-10,10.870,600
CoRoT-11,16.030,1657
CoRoT-12,16.140,1442
CoRoT-13,9.920,1700
CoRoT-14,12.220,1952
CoRoT-17,11.430,1626
CoRoT-18,14.680,1550
CoRoT-19,14.460,2000
CoRoT-22,4.880,885
CoRoT-23,11.770,1660
CoRoT-24,3.700,1070
CoRoT-24,5.000,850
CoRoT-25,12.110,1330
CoRoT-26,14.120,1600
CoRoT-27,11.287,1500
HAT-P-19,12.689,1010
HAT-P-20,9.718,970
HAT-P-25,12.722,1182
HAT-P-28,13.585,1384
HD 219134,1.310,523
K2-26,2.670,430
K2-5,1.910,565
K2-5,2.260,456
K2-6,2.500,615
K2-7,2.670,651
K2-8,3.580,631
K2-9,2.250,314
K2-19,7.740,854
K2-19,4.860,745
K2-11,7.550,734
K2-12,2.330,1003
K2-13,1.890,511
K2-14,4.810,488
K2-15,2.480,676
K2-16,2.020,658
K2-16,2.540,485
K2-17,2.230,487
K2-18,2.370,284
KELT-4 A,19.044,1823
K2-28,2.320,568
K2-19,1.140,1252
HD 219134,1.602,1015
HD 219134,1.511,782
HD 219134,1.610,411
K2-27,4.480,902
WASP-119,15.693,1600
WASP-124,13.899,1400
WASP-126,10.761,1480
WASP-129,10.424,1100
WASP-133,13.563,1790
Kepler-539,8.373,388
HATS-17,8.709,814
TRAPPIST-1,1.086,400
TRAPPIST-1,1.056,342
TRAPPIST-1,0.772,288
K2-34,13.960,1559
K2-22,2.500,2100
HATS-13,13.585,1244
HATS-14,11.646,1276
K2-29,13.339,1171
2MASS J21402931+1625183 A,10.310,2075
KELT-10,15.681,1377
WASP-76,20.512,2160
WASP-90,18.271,1840
HAT-P-50,14.437,1862
HAT-P-51,14.493,1192
HAT-P-52,11.310,1218
HAT-P-53,14.773,1778
KELT-14,19.537,1970
Kepler-167,1.194,536
Kepler-167,10.150,131
Kepler-411,1.880,1040
Kepler-412,15.031,1850
KOI-1257,10.540,511
Kepler-421,4.160,185
Kepler-423,13.361,1605
Kepler-425,10.962,1070
Kepler-426,12.220,1300
Kepler-427,13.790,1100
Kepler-428,12.110,1070
Kepler-430,3.250,667
Kepler-430,1.750,458
Kepler-431,0.764,1032
Kepler-431,0.668,951
Kepler-431,1.110,856
Kepler-433,16.250,1776
Kepler-434,12.670,1000
